favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
26,SocialFlow,Rudy Giuliani gives shifting answers on seeking information from Ukrainian oligarch https://t.co/wUyYrMtyrb https://t.co/6Lbwk965su,,False,Thu Nov 28 10:37:06 +0000 2019,19,1200000656117026821
67,SocialFlow,Nearly half of House Democrats support impeachment. Now what? | Analysis https://t.co/nEbhueaaKO https://t.co/uuGHxBz56R,,False,Sun Aug 04 00:33:07 +0000 2019,18,1157811667302068227
141,SocialFlow,Justice Department told to produce 500 pages of interview memos from the Mueller investigation… https://t.co/JDiVT302Ca,,False,Tue Oct 01 19:23:16 +0000 2019,60,1179114575154860032
32,SocialFlow,State Department inspector general gives Congress documents that Rudy Giuliani provided https://t.co/yJXQNRJLRE https://t.co/fA00FFdlgN,,False,Fri Oct 04 05:00:09 +0000 2019,19,1179984530377191424
53,SocialFlow,Try not to get dizzy: President Trump makes four different arguments about his Ukraine call in 74 words… https://t.co/8cU32n0n6B,,False,Mon Nov 04 23:31:04 +0000 2019,20,1191498125548097538
19,SocialFlow,"Incarcerated Anonymous hacker called before a grand jury, sparking WikiLeaks questions https://t.co/qfeYLGPMbD https://t.co/U3y0nnpXDV",,False,Tue Sep 03 21:12:05 +0000 2019,4,1168995100883636226
31,SocialFlow,Joe Biden will attend a fundraiser co-hosted by a fossil fuel company founder https://t.co/XKzvk5BHnT https://t.co/AptGELlU9h,,False,Thu Sep 05 18:48:02 +0000 2019,24,1169683624725295104
8,SocialFlow,Appeals court grapples with administration’s decision to end temporary protections for some immigrants… https://t.co/bSsBXbo8v8,,False,Wed Aug 14 19:58:04 +0000 2019,5,1161728715371495424
42,SocialFlow,CNN Poll: Joe Biden leads nationally as Pete Buttigieg rises https://t.co/VP16nSkgmh https://t.co/ytWzqINKQj,,False,Fri Nov 29 05:00:12 +0000 2019,9,1200278261399478274
57,SocialFlow,President Trump laments coverage as his aides concede that his visits to the mourning cities didn't go as planned… https://t.co/cv8TlW9TID,,False,Sun Aug 11 02:30:07 +0000 2019,18,1160377829231607808
179,SocialFlow,"Key allegations from the Ukraine whistleblower are true, despite what Trump says https://t.co/nLbGXPRpfL https://t.co/IN8W1tQsRz",,False,Tue Oct 08 23:55:09 +0000 2019,80,1181719712646008832
86,SocialFlow,Federal judge blocks Trump administration’s proposal to detain undocumented families indefinitely… https://t.co/O5QSldhpmg,,False,Sat Sep 28 07:00:19 +0000 2019,29,1177840441967943680
19,SocialFlow,"Rep. Steve King defends his comments on abortion, rape and incest at a town hall https://t.co/xSPvwZhRjQ https://t.co/C6rJeVHr1x",,False,Sun Aug 18 01:25:00 +0000 2019,19,1162898155786166272
5,SocialFlow,5 things the debates taught me | Analysis by CNN's Chris Cillizza https://t.co/TGXgTpqraX https://t.co/OWBoHiVIY0,,False,Sat Aug 03 13:16:02 +0000 2019,2,1157641276696727553
107,SocialFlow,READ: Text messages between US diplomats and Ukrainians released by House Democrats https://t.co/EAtRvZcuES https://t.co/kP1ZJjYVHT,,False,Fri Oct 04 03:20:05 +0000 2019,58,1179959346056306688
10,SocialFlow,The DOJ charges a US man with spying on behalf of China https://t.co/iBpGdGm2FS https://t.co/rPIp8zUtOz,,False,Tue Oct 01 14:33:15 +0000 2019,13,1179041589408206849
139,SocialFlow,House Speaker Nancy Pelosi to participate in a CNN town hall as the House weighs impeachment https://t.co/dwi0y9YQWL https://t.co/1YLGrH9JXe,,False,Fri Nov 22 18:04:06 +0000 2019,53,1197938822782296065
40,SocialFlow,"President Trump says he'd ""love"" for Colin Kaepernick to play in the NFL, but ""only if he's good enough""… https://t.co/tP7qhfEbbW",,False,Fri Aug 09 16:45:08 +0000 2019,10,1159868222587490304
20,SocialFlow,CNN's latest Nevada and South Carolina polls. Follow for live updates https://t.co/1eppIoVVjk https://t.co/KaVrYlVsk5,,False,Sun Sep 29 12:34:15 +0000 2019,9,1178286868531679232
35,SocialFlow,Elizabeth Warren endorses progressive challenger to Texas Democratic Rep. Henry Cuellar https://t.co/X1C1Psqmur https://t.co/1GyYwcAklW,,False,Mon Sep 09 17:46:06 +0000 2019,9,1171117588698599426
11,SocialFlow,Bernie Sanders didn’t render a moral verdict on Democrats who chant “Lock him up!” at President Trump #DemDebate… https://t.co/XmnfKi6AJP,,False,Thu Nov 21 03:12:11 +0000 2019,4,1197351976822026240
46,SocialFlow,"President Trump again says he's looking ""seriously"" at birthright citizenship despite the 14th Amendment… https://t.co/7iW11gU8Kn",,False,Thu Aug 22 17:16:01 +0000 2019,32,1164587038819192832
780,Twitter Media Studio,Asked if Trump's tweet attacking Marie Yovanovitch during her testimony could be considered for an article of impea… https://t.co/S76acRm7Yv,,False,Fri Nov 15 20:48:50 +0000 2019,262,1195443564039286784
42,SocialFlow,Fact-checking Republican complaints about the impeachment inquiry https://t.co/Mi43LFClhT https://t.co/TI1KWuVMo2,,False,Thu Oct 24 21:02:05 +0000 2019,18,1187474363445993478
13,SocialFlow,Pentagon identifies 2 US soldiers killed in Afghanistan https://t.co/oUGNM2OqwR https://t.co/KdzW7MFh04,,False,Thu Aug 22 23:31:17 +0000 2019,7,1164681475318538245
80,SocialFlow,Senior adviser to Vice President Mike Pence likely to testify in impeachment inquiry into President Trump… https://t.co/8vLfMkhnIZ,,False,Tue Nov 05 22:11:06 +0000 2019,30,1191840387696070657
42,SocialFlow,How old is too old to be president? | Analysis by CNN's Chris Cillizza https://t.co/gEF5bJnSPK https://t.co/OmCUNOhvKU,,False,Sun Oct 06 23:03:08 +0000 2019,14,1180981845158236160
